,
Shapes,0
America,50
Urban,45
GT,1000
Cartoon,1000
Wedge,1000
Offroad,1000
Over,1000
,
levcopy-sh-3,70 80 90
levcopy-sh-4,70 80 90
levcopy-sh-2,70 80 90
levcopy-sh-1,60 70 80 90 95
shape-mini,60 70 80 90 95
,
SS-shco-1,60 80 100
SS-shco-11,70 80 100
SS-shco-2,70 80 100
SS-shco-21,70 80 100
SS-shco-3,70 75 85 95 100
SS-shco-4,200 160 110 80 70
,
,
ord-sh-0-(1),70 80 90
ord-sh-0-(2),70 80 90
ord-sh-0-(3),70 80 90
ord-sh-0-(4),70 80 90
ord-sh-0-(5),70 80 90
ord-sh-0-(6),70 80 90
ord-sh-0-(7),70 80 90
,
ord-sh-1-(1),70 80 90
ord-sh-1-(2),70 80 90
ord-sh-1-(3),70 80 90
ord-sh-1-(4),70 80 90
ord-sh-1-(5),70 80 90
ord-sh-1-(6),70 80 90
,
levcopy-amer-1,70 80 90
levcopy-amer-2,70 80 90
levcopy-amer-3,60 70 80 90 95
levcopy-amer-4,60 70 80 90 95
,
ord-amer-1-(1),60 70 80 90 95
ord-amer-1-(2),60 70 80 90 95
ord-amer-1-(3),60 70 80 90 95
ord-amer-1-(4),60 70 80 90 95
ord-amer-1-(5),60 70 80 90 95
ord-amer-1-(6),60 70 80 90 95
,
ord-amer-2-(1),60 70 80 90 95
ord-amer-2-(2),60 70 80 90 95
ord-amer-2-(3),60 70 80 90 95
,
levcopy-urb-1,70 80 90
levcopy-urb-2,70 80 90
levcopy-urb-3,60 70 80 85 90
levcopy-urb-4,60 70 80 85 90
,
ord-urb-1-(1),70 80 90
ord-urb-1-(2),70 80 90
ord-urb-1-(3),70 80 90
ord-urb-1-(4),70 80 90
ord-urb-1-(5),70 80 90
,
ord-urb-2-(1),70 80 90
ord-urb-2-(2),70 80 90
ord-urb-2-(3),70 80 90
ord-urb-2-(4),70 80 90
ord-urb-2-(5),70 80 90
